Company Name,TPIN,Employee Name,Employee NRC,Province
"Velez, Knight and Smith",02647987377,Daniel Yu,024509/77/2,Eastern
"Velez, Knight and Smith",02647987377,Miguel Collier,022229/86/6,Eastern
"Humphrey, Lyons and Gomez",05664423628,Robert Levy,051429/18/9,Muchinga
"Humphrey, Lyons and Gomez",05664423628,Michelle Rogers DDS,051244/61/8,Muchinga
"Humphrey, Lyons and Gomez",05664423628,Thomas Ryan,058501/72/2,Muchinga
Powell-Thompson,03226679485,Sherry Young,031482/90/9,Luapula
"Wilcox, Cisneros and Delgado",06193487084,Derrick Williams,063234/40/2,Northern
Stark-Malone,10297472648,April Zavala,105425/47/9,Copperbelt
Stark-Malone,10297472648,Michael Stevens,106422/76/7,Copperbelt
Stark-Malone,10297472648,Brandon Vazquez,103789/96/2,Copperbelt
Stark-Malone,10297472648,David Owens MD,108979/72/4,Copperbelt
Stark-Malone,10297472648,Matthew Thomas,109313/81/9,Copperbelt
Stark-Malone,10297472648,Aaron Mathews,106884/22/5,Copperbelt
"Scott, Kemp and Mcmahon",06644916197,Jacob Bolton,061864/63/6,Northern
"Scott, Kemp and Mcmahon",06644916197,David Saunders,067812/32/3,Northern
"Scott, Kemp and Mcmahon",06644916197,John Gonzalez,065426/82/8,Northern
"Scott, Kemp and Mcmahon",06644916197,Jordan Mullen,066825/61/9,Northern
"Wagner, Sullivan and Torres",07349088958,Allison Hurley,078013/38/4,North-Western
"Wagner, Sullivan and Torres",07349088958,Mrs. Wendy Vega DDS,072860/13/8,North-Western
"Wagner, Sullivan and Torres",07349088958,Levi Short,072331/16/5,North-Western
"Wagner, Sullivan and Torres",07349088958,April Nelson,073320/77/3,North-Western
"Wagner, Sullivan and Torres",07349088958,Stephanie Valencia,076248/44/9,North-Western
"Wagner, Sullivan and Torres",07349088958,Kenneth Brown,072229/70/6,North-Western
"Wagner, Sullivan and Torres",07349088958,Suzanne Hernandez,079794/49/9,North-Western
"Wagner, Sullivan and Torres",07349088958,Michelle Brown,074719/43/4,North-Western
"Wagner, Sullivan and Torres",07349088958,William Baker,077034/15/4,North-Western
"Wagner, Sullivan and Torres",07349088958,Philip Thomas,072997/27/3,North-Western
"Gonzales, Evans and Young",10851685301,Lisa Parsons,104528/92/2,Copperbelt
"Gonzales, Evans and Young",10851685301,Bobby Martin,102158/32/9,Copperbelt
Aguirre-Richardson,02383106489,Christopher Lopez,026734/59/7,Eastern
Aguirre-Richardson,02383106489,Zachary Clark,026930/95/9,Eastern
Aguirre-Richardson,02383106489,Gabrielle Lopez,028946/31/8,Eastern
Aguirre-Richardson,02383106489,Robert Mcdonald,028560/63/2,Eastern
Aguirre-Richardson,02383106489,Robin Armstrong,026236/22/2,Eastern
"Nixon, Wood and Marshall",02764132922,Dr. Kevin Jones,024943/24/2,Eastern
"Nixon, Wood and Marshall",02764132922,Jacob Johnson,026421/63/3,Eastern
"Wallace, Vasquez and West",03521914269,Carolyn Johnson,031014/78/3,Luapula
"Wallace, Vasquez and West",03521914269,Cynthia Wheeler,032866/64/6,Luapula
"Wallace, Vasquez and West",03521914269,Larry Parker,036474/86/9,Luapula
"Wallace, Vasquez and West",03521914269,Madison Larson,035545/81/9,Luapula
"Wallace, Vasquez and West",03521914269,Robert Mitchell,037184/34/6,Luapula
"Wallace, Vasquez and West",03521914269,Alyssa Vega,033357/82/7,Luapula
"Wallace, Vasquez and West",03521914269,Danielle Williams,039481/19/4,Luapula
"Wallace, Vasquez and West",03521914269,Johnny Schmidt,035956/48/6,Luapula
"Wallace, Vasquez and West",03521914269,David Oliver,032081/39/3,Luapula
"Wallace, Vasquez and West",03521914269,Michelle Perry,035231/55/3,Luapula
Walker LLC,05120907381,Scott Collins,055115/94/1,Muchinga
Walker LLC,05120907381,Robert Warren,051524/12/7,Muchinga
Walker LLC,05120907381,Deanna Austin,056735/14/2,Muchinga
Walker LLC,05120907381,Debra Lewis,053940/74/3,Muchinga
Walker LLC,05120907381,Sharon Griffin,052539/76/1,Muchinga
Walker LLC,05120907381,Justin Gill,057400/30/7,Muchinga
Walker LLC,05120907381,Heidi Diaz,052917/53/7,Muchinga
Walker LLC,05120907381,Diamond Howard,052399/76/9,Muchinga
Williams PLC,06307302730,Susan Thompson,061105/93/6,Northern
Williams PLC,06307302730,Linda Smith,069327/73/5,Northern
Williams PLC,06307302730,Brandon Miller,063332/53/6,Northern
Williams PLC,06307302730,Jeremy Smith,067191/93/6,Northern
Williams PLC,06307302730,Joshua Mays,062014/11/8,Northern
Williams PLC,06307302730,Deborah Arnold,061901/65/1,Northern
Williams PLC,06307302730,Sarah Lee,062013/38/5,Northern
Williams PLC,06307302730,Jonathan Berry,062644/13/1,Northern
Case-Sellers,10594003956,Johnny Villarreal,105570/70/4,Copperbelt
Case-Sellers,10594003956,Tanner Hanson,104961/86/8,Copperbelt
Case-Sellers,10594003956,David Zavala,107969/87/6,Copperbelt
Case-Sellers,10594003956,Vincent Deleon,109257/32/9,Copperbelt
Case-Sellers,10594003956,James Doyle,104115/87/3,Copperbelt
Thomas-Clements,04716423690,Richard Valenzuela,048902/39/9,Lusaka
Thomas-Clements,04716423690,Dennis Garcia,042118/83/8,Lusaka
Thomas-Clements,04716423690,Crystal Hernandez,048452/25/3,Lusaka
Thomas-Clements,04716423690,Jon Miller,043720/35/1,Lusaka
Thomas-Clements,04716423690,Tracy Mosley,044419/30/3,Lusaka
"Robbins, Contreras and Cruz",07177601524,Marcus Fisher,077008/33/6,North-Western
"Robbins, Contreras and Cruz",07177601524,Christopher Bryant,072888/85/1,North-Western
"Robbins, Contreras and Cruz",07177601524,David Rivera,072984/21/9,North-Western
"Robbins, Contreras and Cruz",07177601524,Robert Dickerson,073548/52/1,North-Western
"Robbins, Contreras and Cruz",07177601524,Cory Fisher,077419/60/8,North-Western
"Robbins, Contreras and Cruz",07177601524,Erica Parker,073611/85/4,North-Western
"Guzman, Becker and Ware",10665355904,Alex Hall,109418/85/5,Copperbelt
"Guzman, Becker and Ware",10665355904,Lisa White,101804/78/7,Copperbelt
"Watts, Gates and Yoder",04517375298,Carrie Weaver,043998/33/2,Lusaka
"Watts, Gates and Yoder",04517375298,Troy Rice,044165/31/6,Lusaka
"Watts, Gates and Yoder",04517375298,Elizabeth Obrien,043138/49/7,Lusaka
"Watts, Gates and Yoder",04517375298,Timothy Williamson,045954/47/8,Lusaka
"Watts, Gates and Yoder",04517375298,Barbara Daniels,048199/30/1,Lusaka
"Watts, Gates and Yoder",04517375298,Tracy Howe,045320/86/4,Lusaka
"Watts, Gates and Yoder",04517375298,Phillip Sawyer,045939/15/3,Lusaka
"Watts, Gates and Yoder",04517375298,Jennifer Collier,049815/30/3,Lusaka
"Watts, Gates and Yoder",04517375298,Robert Castro,042306/17/5,Lusaka
"Watts, Gates and Yoder",04517375298,Janet Salazar,047134/69/9,Lusaka
Mitchell-Johnson,03410934692,Regina Hill DDS,038019/76/1,Luapula
Mitchell-Johnson,03410934692,Elizabeth Blackwell,039928/37/1,Luapula
Mitchell-Johnson,03410934692,Deanna Lee,033182/93/6,Luapula
Mitchell-Johnson,03410934692,Gary Calderon,039038/37/6,Luapula
Mitchell-Johnson,03410934692,Danielle Fleming,034228/38/8,Luapula
Mitchell-Johnson,03410934692,Patricia Barker,035790/89/4,Luapula
Mitchell-Johnson,03410934692,Jonathan Williams,031022/63/9,Luapula
Mitchell-Johnson,03410934692,Toni Rodriguez,032826/78/6,Luapula
Barr-Johnson,09947612619,Jacqueline Pitts,096675/18/1,Western
Barr-Johnson,09947612619,Karen Rodriguez,096352/56/8,Western
Barr-Johnson,09947612619,Jason Powell,097463/60/5,Western
Barr-Johnson,09947612619,Mr. David Gomez,094297/98/5,Western
Barr-Johnson,09947612619,Kristin Moran,099471/60/2,Western
Bishop-Ramirez,02445750164,Tyler Simmons,029683/95/3,Eastern
Bishop-Ramirez,02445750164,Roger Burns,026822/43/7,Eastern
Bishop-Ramirez,02445750164,Lindsay Griffith,024687/52/4,Eastern
"Love, Mcguire and Gray",08341988706,Elaine Jones,088403/36/1,Southern
"Love, Mcguire and Gray",08341988706,Donna Walter,087621/57/2,Southern
"Love, Mcguire and Gray",08341988706,Kenneth Watson,084493/17/2,Southern
Williams-Brooks,04575509219,Nathan Watts DDS,048945/53/5,Lusaka
Williams-Brooks,04575509219,Erica Wilson,042791/83/8,Lusaka
Williams-Brooks,04575509219,Scott Lawson,044648/29/8,Lusaka
Williams-Brooks,04575509219,Tracy Bray,041448/39/9,Lusaka
Williams-Brooks,04575509219,Whitney Rogers,048896/59/2,Lusaka
Williams-Brooks,04575509219,Sierra Bailey,045216/26/1,Lusaka
Jimenez Group,08218387109,Sheila Serrano,085764/65/2,Southern
Jimenez Group,08218387109,Michael Martinez,089125/55/2,Southern
Jimenez Group,08218387109,Angela Barajas,081490/73/6,Southern
Jimenez Group,08218387109,Katelyn Steele,081286/86/9,Southern
Jimenez Group,08218387109,Catherine Thompson,085852/52/8,Southern
Jimenez Group,08218387109,Shane Hernandez,084869/59/1,Southern
Jimenez Group,08218387109,Mary Garcia,089092/63/4,Southern
Jimenez Group,08218387109,Melissa Turner,084004/76/1,Southern
"Davis, Henson and Landry",09456207575,Crystal Clark,095708/15/7,Western
Francis Group,02478261398,Jennifer Rowe,027370/78/2,Eastern
Francis Group,02478261398,Melissa Blackwell,024183/16/8,Eastern
Francis Group,02478261398,Mr. Joshua Mcconnell,024322/26/3,Eastern
Francis Group,02478261398,Donna Lynch,029269/41/2,Eastern
Francis Group,02478261398,Kevin Barnes,026687/15/7,Eastern
Francis Group,02478261398,Joseph Smith,027986/95/7,Eastern
Francis Group,02478261398,Monica Reese,024043/45/4,Eastern
Francis Group,02478261398,Courtney Jones,027679/96/6,Eastern
Estrada Group,09694636151,Judy Taylor,098345/60/8,Western
"Rogers, Herman and Paul",07638749733,Anthony Smith,073623/82/7,North-Western
"Rogers, Herman and Paul",07638749733,Amanda Lee,074229/55/6,North-Western
"Rogers, Herman and Paul",07638749733,Timothy Benton,072326/47/8,North-Western
"Rogers, Herman and Paul",07638749733,Kristine Smith,079252/24/9,North-Western
"Rogers, Herman and Paul",07638749733,Sally Cohen,075366/59/9,North-Western
"Rogers, Herman and Paul",07638749733,Michelle Martin,078285/44/3,North-Western
"Rogers, Herman and Paul",07638749733,Kyle Lewis,076933/37/4,North-Western
Lewis-Morton,01546626834,Cody Horn,013275/69/6,Central
Lewis-Morton,01546626834,Seth Allison,015976/23/9,Central
Lewis-Morton,01546626834,Ruth Ross,015455/17/6,Central
Lewis-Morton,01546626834,Eric Carroll,015863/28/4,Central
Collins Group,04575809930,Karen Ross,049284/82/6,Lusaka
Collins Group,04575809930,Julie Ponce,049349/42/1,Lusaka
Collins Group,04575809930,Herbert Wright,043415/83/7,Lusaka
Collins Group,04575809930,Charles Roberts,047474/94/5,Lusaka
Collins Group,04575809930,Sheila White,049266/45/9,Lusaka
Collins Group,04575809930,Amber Robinson,046441/53/3,Lusaka
Collins Group,04575809930,Adriana Martinez DVM,044627/93/8,Lusaka
Thompson Group,09658725228,Kristine Jackson,092592/97/1,Western
Hall-Harris,01959730286,Donna Torres,011715/22/3,Central
Hall-Harris,01959730286,Lauren Ortiz,016325/34/9,Central
Hall-Harris,01959730286,Kaitlyn Johnson,016822/28/6,Central
Hall-Harris,01959730286,Catherine Castaneda,011640/21/2,Central
"Brown, Allen and James",03426808258,Gina Browning,038679/36/3,Luapula
"Brown, Allen and James",03426808258,Christine Holt,031297/17/9,Luapula
"Brown, Allen and James",03426808258,Stephen Adams,032851/63/1,Luapula
"Brown, Allen and James",03426808258,Andrew Blake,036732/63/8,Luapula
"Brown, Allen and James",03426808258,Larry Green,035844/29/6,Luapula
"Brown, Allen and James",03426808258,William Anderson,034682/53/9,Luapula
Stevens and Sons,09975306026,Valerie Franklin,093435/17/1,Western
Stevens and Sons,09975306026,Jillian Ramos,094940/30/6,Western
Stevens and Sons,09975306026,Edward Stewart,099359/28/8,Western
Marsh PLC,06193109037,Brandy Clayton,066161/24/3,Northern
Marsh PLC,06193109037,James Woods,066797/21/6,Northern
Marsh PLC,06193109037,Elizabeth Rodriguez,063738/67/3,Northern
Mack-Lee,06816012462,Kayla Miller,065930/59/6,Northern
Mack-Lee,06816012462,Rodney Jones IV,067058/31/7,Northern
Mack-Lee,06816012462,Elizabeth Wilson,068552/52/7,Northern
Mack-Lee,06816012462,Zoe Johnson,069789/60/1,Northern
Mack-Lee,06816012462,Brittany Martinez,068361/21/9,Northern
Mack-Lee,06816012462,Alexander Benson,068035/60/6,Northern
Mack-Lee,06816012462,Kelli Pena,066030/54/9,Northern
Mack-Lee,06816012462,Lisa Strickland,064899/61/8,Northern
Mack-Lee,06816012462,Richard Long,064374/43/9,Northern
Landry-Nguyen,04998065070,Anthony Howard,045353/30/8,Lusaka
Landry-Nguyen,04998065070,Derrick Foley,046454/41/2,Lusaka
Landry-Nguyen,04998065070,Jacob Warren,049198/40/4,Lusaka
Landry-Nguyen,04998065070,Mitchell White,041865/93/8,Lusaka
Landry-Nguyen,04998065070,Madison Carter,042472/40/1,Lusaka
Landry-Nguyen,04998065070,Anthony Hayes,041688/38/7,Lusaka
Reeves Inc,04549099656,Joseph Peters,046259/85/1,Lusaka
Reeves Inc,04549099656,Patrick Gross,048872/59/6,Lusaka
Reeves Inc,04549099656,Matthew Galvan,041988/62/7,Lusaka
Reeves Inc,04549099656,Andrew Jones,043254/88/6,Lusaka
Reeves Inc,04549099656,Justin Love,046090/43/2,Lusaka
Reeves Inc,04549099656,Danny Simmons,047009/43/5,Lusaka
Reeves Inc,04549099656,Kevin White,047496/38/4,Lusaka
Reeves Inc,04549099656,Willie Thomas,046075/34/8,Lusaka
Reeves Inc,04549099656,Justin Mccormick,044990/37/1,Lusaka
Reeves Inc,04549099656,Lynn Thomas,042077/87/7,Lusaka
"Morris, Brown and Graham",05496957319,Timothy Garcia,052371/61/5,Muchinga
"Morris, Brown and Graham",05496957319,Joseph Fuentes,054031/29/1,Muchinga
"Morris, Brown and Graham",05496957319,Veronica Farmer,059893/74/9,Muchinga
"Farley, Casey and Wade",09385826336,Nicole Spencer,095413/17/3,Western
"Farley, Casey and Wade",09385826336,David Pitts,096656/57/2,Western
"Farley, Casey and Wade",09385826336,Sarah Gomez,099959/94/6,Western
"Farley, Casey and Wade",09385826336,Sierra Jones,095628/83/6,Western
"Farley, Casey and Wade",09385826336,Jacob Donaldson,095291/14/7,Western
"Farley, Casey and Wade",09385826336,Amy Miller,094858/95/3,Western
"Farley, Casey and Wade",09385826336,Brent Avila,097749/18/8,Western
"Farley, Casey and Wade",09385826336,Vincent Smith,094637/58/3,Western
Lawson-Garcia,04537386522,Anthony Sanders,049480/94/6,Lusaka
Lawson-Garcia,04537386522,Matthew Nelson,046567/78/3,Lusaka
Lawson-Garcia,04537386522,Sarah Thomas,049365/46/5,Lusaka
Jones-Romero,05141280370,Stacy Baker,053645/33/3,Muchinga
Jones-Romero,05141280370,Barbara Baldwin,057493/12/7,Muchinga
Jones-Romero,05141280370,Danielle Peters,056998/41/7,Muchinga
Jones-Romero,05141280370,Mary Schneider,055677/57/8,Muchinga
Jones-Romero,05141280370,Michelle Mckenzie,056242/35/1,Muchinga
Jones-Romero,05141280370,Dr. Christine Mckenzie,054098/81/6,Muchinga
Jones-Romero,05141280370,William Quinn,051034/90/4,Muchinga
Lewis-Garcia,05997657119,Sonya Cordova,052775/74/6,Muchinga
Lewis-Garcia,05997657119,Amanda Martinez,051016/66/6,Muchinga
Lewis-Garcia,05997657119,Lisa Thomas,054015/50/9,Muchinga
Lewis-Garcia,05997657119,Allison Kim,052026/39/9,Muchinga
Lewis-Garcia,05997657119,Michelle Valdez,059953/39/2,Muchinga
Lewis-Garcia,05997657119,Michelle Moreno,052898/79/4,Muchinga
Lewis-Garcia,05997657119,Andrea Bailey,059949/28/4,Muchinga
Brown Inc,05522869371,Rachel Thompson,051625/25/8,Muchinga
Brown Inc,05522869371,Joe Weber,058305/41/9,Muchinga
Brown Inc,05522869371,Cynthia Lawson,057284/10/1,Muchinga
Brown Inc,05522869371,Sara Macdonald,054736/86/1,Muchinga
Brown Inc,05522869371,Mary Frey,051244/49/9,Muchinga
